FIPS,ID
17203,Woodford_Illinois_UnitedStates
18001,Adams_Indiana_UnitedStates
18003,Allen_Indiana_UnitedStates
18005,Bartholomew_Indiana_UnitedStates
18009,Blackford_Indiana_UnitedStates
18011,Boone_Indiana_UnitedStates
18017,Cass_Indiana_UnitedStates
18019,Clark_Indiana_UnitedStates
18021,Clay_Indiana_UnitedStates
18023,Clinton_Indiana_UnitedStates
18027,Daviess_Indiana_UnitedStates
18029,Dearborn_Indiana_UnitedStates
18031,Decatur_Indiana_UnitedStates
18033,DeKalb_Indiana_UnitedStates
18035,Delaware_Indiana_UnitedStates
18037,Dubois_Indiana_UnitedStates
18039,Elkhart_Indiana_UnitedStates
18043,Floyd_Indiana_UnitedStates
18049,Fulton_Indiana_UnitedStates
18051,Gibson_Indiana_UnitedStates
18053,Grant_Indiana_UnitedStates
18055,Greene_Indiana_UnitedStates
18057,Hamilton_Indiana_UnitedStates
18059,Hancock_Indiana_UnitedStates
18061,Harrison_Indiana_UnitedStates
18063,Hendricks_Indiana_UnitedStates
18065,Henry_Indiana_UnitedStates
18067,Howard_Indiana_UnitedStates
18069,Huntington_Indiana_UnitedStates
18071,Jackson_Indiana_UnitedStates
18073,Jasper_Indiana_UnitedStates
18075,Jay_Indiana_UnitedStates
18077,Jefferson_Indiana_UnitedStates
18079,Jennings_Indiana_UnitedStates
18081,Johnson_Indiana_UnitedStates
18083,Knox_Indiana_UnitedStates
18085,Kosciusko_Indiana_UnitedStates
18087,LaGrange_Indiana_UnitedStates
18089,Lake_Indiana_UnitedStates
18091,LaPorte_Indiana_UnitedStates
18093,Lawrence_Indiana_UnitedStates
18095,Madison_Indiana_UnitedStates
18097,Marion_Indiana_UnitedStates
18099,Marshall_Indiana_UnitedStates
18103,Miami_Indiana_UnitedStates
18105,Monroe_Indiana_UnitedStates
18107,Montgomery_Indiana_UnitedStates
18109,Morgan_Indiana_UnitedStates
18113,Noble_Indiana_UnitedStates
18117,Orange_Indiana_UnitedStates
18123,Perry_Indiana_UnitedStates
18127,Porter_Indiana_UnitedStates
18131,Pulaski_Indiana_UnitedStates
18133,Putnam_Indiana_UnitedStates
18135,Randolph_Indiana_UnitedStates
18137,Ripley_Indiana_UnitedStates
18139,Rush_Indiana_UnitedStates
18143,Scott_Indiana_UnitedStates
18145,Shelby_Indiana_UnitedStates
18149,Starke_Indiana_UnitedStates
18151,Steuben_Indiana_UnitedStates
18153,Sullivan_Indiana_UnitedStates
18157,Tippecanoe_Indiana_UnitedStates
18159,Tipton_Indiana_UnitedStates
18163,Vanderburgh_Indiana_UnitedStates
18165,Vermillion_Indiana_UnitedStates
18167,Vigo_Indiana_UnitedStates
18169,Wabash_Indiana_UnitedStates
18171,Warren_Indiana_UnitedStates
18173,Warrick_Indiana_UnitedStates
18175,Washington_Indiana_UnitedStates
18177,Wayne_Indiana_UnitedStates
18179,Wells_Indiana_UnitedStates
18181,White_Indiana_UnitedStates
18183,Whitley_Indiana_UnitedStates
19001,Adair_Iowa_UnitedStates
19005,Allamakee_Iowa_UnitedStates
19007,Appanoose_Iowa_UnitedStates
19009,Audubon_Iowa_UnitedStates
19011,Benton_Iowa_UnitedStates
19013,BlackHawk_Iowa_UnitedStates
19015,Boone_Iowa_UnitedStates
19017,Bremer_Iowa_UnitedStates
19019,Buchanan_Iowa_UnitedStates
19021,BuenaVista_Iowa_UnitedStates
19025,Calhoun_Iowa_UnitedStates
19027,Carroll_Iowa_UnitedStates
19029,Cass_Iowa_UnitedStates
19033,CerroGordo_Iowa_UnitedStates
19035,Cherokee_Iowa_UnitedStates
19037,Chickasaw_Iowa_UnitedStates
19039,Clarke_Iowa_UnitedStates
19041,Clay_Iowa_UnitedStates
19043,Clayton_Iowa_UnitedStates
19045,Clinton_Iowa_UnitedStates
19047,Crawford_Iowa_UnitedStates
19049,Dallas_Iowa_UnitedStates
19051,Davis_Iowa_UnitedStates
19053,Decatur_Iowa_UnitedStates
19055,Delaware_Iowa_UnitedStates
19057,DesMoines_Iowa_UnitedStates
19059,Dickinson_Iowa_UnitedStates
19061,Dubuque_Iowa_UnitedStates
19063,Emmet_Iowa_UnitedStates
19065,Fayette_Iowa_UnitedStates
19067,Floyd_Iowa_UnitedStates
19069,Franklin_Iowa_UnitedStates
19071,Fremont_Iowa_UnitedStates
19073,Greene_Iowa_UnitedStates
19075,Grundy_Iowa_UnitedStates
19077,Guthrie_Iowa_UnitedStates
19079,Hamilton_Iowa_UnitedStates
19081,Hancock_Iowa_UnitedStates
19083,Hardin_Iowa_UnitedStates
19085,Harrison_Iowa_UnitedStates
19087,Henry_Iowa_UnitedStates
19089,Howard_Iowa_UnitedStates
19091,Humboldt_Iowa_UnitedStates
19095,Iowa_Iowa_UnitedStates
19097,Jackson_Iowa_UnitedStates
19099,Jasper_Iowa_UnitedStates
19101,Jefferson_Iowa_UnitedStates
19103,Johnson_Iowa_UnitedStates
19105,Jones_Iowa_UnitedStates
19107,Keokuk_Iowa_UnitedStates
19109,Kossuth_Iowa_UnitedStates
19111,Lee_Iowa_UnitedStates
19113,Linn_Iowa_UnitedStates
19119,Lyon_Iowa_UnitedStates
19121,Madison_Iowa_UnitedStates
19123,Mahaska_Iowa_UnitedStates
19125,Marion_Iowa_UnitedStates
19127,Marshall_Iowa_UnitedStates
19131,Mitchell_Iowa_UnitedStates
19133,Monona_Iowa_UnitedStates
19135,Monroe_Iowa_UnitedStates
19137,Montgomery_Iowa_UnitedStates
19139,Muscatine_Iowa_UnitedStates
19143,Osceola_Iowa_UnitedStates
19145,Page_Iowa_UnitedStates
19147,PaloAlto_Iowa_UnitedStates
19149,Plymouth_Iowa_UnitedStates
19151,Pocahontas_Iowa_UnitedStates
19153,Polk_Iowa_UnitedStates
19155,Pottawattamie_Iowa_UnitedStates
19157,Poweshiek_Iowa_UnitedStates
19161,Sac_Iowa_UnitedStates
19163,Scott_Iowa_UnitedStates
19165,Shelby_Iowa_UnitedStates
19167,Sioux_Iowa_UnitedStates
19169,Story_Iowa_UnitedStates
19175,Union_Iowa_UnitedStates
19177,VanBuren_Iowa_UnitedStates
19179,Wapello_Iowa_UnitedStates
19183,Washington_Iowa_UnitedStates
19185,Wayne_Iowa_UnitedStates
19187,Webster_Iowa_UnitedStates
19191,Winneshiek_Iowa_UnitedStates
19193,Woodbury_Iowa_UnitedStates
19197,Wright_Iowa_UnitedStates
20003,Anderson_Kansas_UnitedStates
20005,Atchison_Kansas_UnitedStates
20007,Barber_Kansas_UnitedStates
20009,Barton_Kansas_UnitedStates
20013,Brown_Kansas_UnitedStates
20015,Butler_Kansas_UnitedStates
20019,Chautauqua_Kansas_UnitedStates
20021,Cherokee_Kansas_UnitedStates
20023,Cheyenne_Kansas_UnitedStates
20025,Clark_Kansas_UnitedStates
20027,Clay_Kansas_UnitedStates
20029,Cloud_Kansas_UnitedStates
20031,Coffey_Kansas_UnitedStates
20035,Cowley_Kansas_UnitedStates
20037,Crawford_Kansas_UnitedStates
20041,Dickinson_Kansas_UnitedStates
20045,Douglas_Kansas_UnitedStates
20047,Edwards_Kansas_UnitedStates
20051,Ellis_Kansas_UnitedStates
20053,Ellsworth_Kansas_UnitedStates
20055,Finney_Kansas_UnitedStates
20057,Ford_Kansas_UnitedStates
20059,Franklin_Kansas_UnitedStates
20061,Geary_Kansas_UnitedStates
20063,Gove_Kansas_UnitedStates
20067,Grant_Kansas_UnitedStates
20073,Greenwood_Kansas_UnitedStates
20075,Hamilton_Kansas_UnitedStates
20077,Harper_Kansas_UnitedStates
20079,Harvey_Kansas_UnitedStates
20081,Haskell_Kansas_UnitedStates
20085,Jackson_Kansas_UnitedStates
20087,Jefferson_Kansas_UnitedStates
20089,Jewell_Kansas_UnitedStates
20091,Johnson_Kansas_UnitedStates
20093,Kearny_Kansas_UnitedStates
20097,Kiowa_Kansas_UnitedStates
20099,Labette_Kansas_UnitedStates
20103,Leavenworth_Kansas_UnitedStates
20111,Lyon_Kansas_UnitedStates
20113,McPherson_Kansas_UnitedStates
20115,Marion_Kansas_UnitedStates
20119,Meade_Kansas_UnitedStates
20121,Miami_Kansas_UnitedStates
20123,Mitchell_Kansas_UnitedStates
20125,Montgomery_Kansas_UnitedStates
20127,Morris_Kansas_UnitedStates
20129,Morton_Kansas_UnitedStates
20131,Nemaha_Kansas_UnitedStates
20133,Neosho_Kansas_UnitedStates
20137,Norton_Kansas_UnitedStates
20141,Osborne_Kansas_UnitedStates
20143,Ottawa_Kansas_UnitedStates
20147,Phillips_Kansas_UnitedStates
20149,Pottawatomie_Kansas_UnitedStates
20151,Pratt_Kansas_UnitedStates
20155,Reno_Kansas_UnitedStates
20157,Republic_Kansas_UnitedStates
20159,Rice_Kansas_UnitedStates
20161,Riley_Kansas_UnitedStates
20163,Rooks_Kansas_UnitedStates
20169,Saline_Kansas_UnitedStates
20171,Scott_Kansas_UnitedStates
20173,Sedgwick_Kansas_UnitedStates
20175,Seward_Kansas_UnitedStates
20177,Shawnee_Kansas_UnitedStates
20179,Sheridan_Kansas_UnitedStates
20181,Sherman_Kansas_UnitedStates
20183,Smith_Kansas_UnitedStates
20185,Stafford_Kansas_UnitedStates
20187,Stanton_Kansas_UnitedStates
20189,Stevens_Kansas_UnitedStates
20191,Sumner_Kansas_UnitedStates
20201,Washington_Kansas_UnitedStates
20205,Wilson_Kansas_UnitedStates
20209,Wyandotte_Kansas_UnitedStates
21003,Allen_Kentucky_UnitedStates
21009,Barren_Kentucky_UnitedStates
21015,Boone_Kentucky_UnitedStates
21017,Bourbon_Kentucky_UnitedStates
21019,Boyd_Kentucky_UnitedStates
21021,Boyle_Kentucky_UnitedStates
21025,Breathitt_Kentucky_UnitedStates
21027,Breckinridge_Kentucky_UnitedStates
21033,Caldwell_Kentucky_UnitedStates
21035,Calloway_Kentucky_UnitedStates
21037,Campbell_Kentucky_UnitedStates
21041,Carroll_Kentucky_UnitedStates
21045,Casey_Kentucky_UnitedStates
